[70, 0, 'on for the first time', 3]
[70, 0, 'off for the first time', 3]
[70, 0, 'on', 5]
[91, 0, 'on for the first time', 1]
[93, 0, 'on for the first time', 1]
[72, 11, 'on for the first time', 3]
[74, 22, 'on for the first time', 3]
[72, 23, 'off for the first time', 3]
[79, 33, 'on for the first time', 3]
[74, 34, 'off for the first time', 3]
[74, 54, 'on', 3]
[79, 55, 'off for the first time', 3]
[72, 65, 'on', 3]
[74, 66, 'off', 3]
[70, 76, 'off', 3]
[70, 76, 'on', 3]
[72, 77, 'off', 3]
[72, 98, 'on', 3]
[74, 109, 'on', 3]
[72, 109, 'off', 3]
[79, 119, 'on', 3]
[74, 120, 'off', 3]
[74, 141, 'on', 3]
[79, 142, 'off', 3]
[72, 151, 'on', 3]
[74, 152, 'off', 3]
[70, 162, 'off', 3]
[70, 162, 'on', 3]
[72, 163, 'off', 3]
[91, 173, 'off for the first time', 1]
[91, 173, 'on', 2]
[72, 184, 'on', 3]
[74, 195, 'on', 3]
[72, 195, 'off', 3]
[79, 205, 'on', 3]
[74, 206, 'off', 3]
[86, 216, 'on for the first time', 2]
[74, 227, 'on', 3]
[79, 228, 'off', 3]
[72, 237, 'on', 3]
[74, 238, 'off', 3]
[70, 248, 'off', 3]
[70, 248, 'on', 3]
[72, 249, 'off', 3]
[72, 270, 'on', 3]
[70, 271, 'off', 3]
[74, 281, 'on', 3]
[88, 281, 'on for the first time', 2]
[72, 282, 'off', 3]
[86, 283, 'off for the first time', 2]
[79, 292, 'on', 3]
[89, 292, 'on for the first time', 2]
[74, 293, 'off', 3]
[88, 293, 'off for the first time', 2]
[91, 303, 'off', 1]
[91, 303, 'on', 2]
[89, 303, 'off for the first time', 2]
[74, 313, 'on', 3]
[79, 314, 'off', 3]
[72, 324, 'on', 3]
[88, 324, 'on', 2]
[74, 325, 'off', 3]
[70, 335, 'on', 3]
[86, 335, 'on', 2]
[72, 336, 'off', 3]
[88, 336, 'off', 2]
[88, 346, 'on', 2]
[86, 347, 'off', 2]
[72, 357, 'on', 3]
[70, 358, 'off', 3]
[84, 361, 'on for the first time', 2]
[88, 362, 'off', 2]
[74, 368, 'on', 3]
[72, 369, 'off', 3]
[88, 375, 'on', 2]
[84, 377, 'off for the first time', 2]
[79, 379, 'on', 3]
[74, 380, 'off', 3]
[86, 390, 'on', 2]
[88, 391, 'off', 2]
[74, 400, 'on', 3]
[79, 402, 'off', 3]
[72, 411, 'on', 3]
[74, 412, 'off', 3]
[70, 422, 'on', 3]
[72, 423, 'off', 3]
[72, 444, 'on', 3]
[70, 445, 'off', 3]
[74, 455, 'on', 3]
[72, 456, 'off', 3]
[79, 466, 'on', 3]
[74, 466, 'off', 3]
[86, 473, 'off', 2]
[82, 476, 'on for the first time', 2]
[74, 487, 'on', 3]
[79, 488, 'off', 3]
[72, 498, 'on', 3]
[86, 498, 'on', 2]
[74, 498, 'off', 3]
[82, 500, 'off for the first time', 2]
[70, 509, 'on', 3]
[72, 510, 'off', 3]
[70, 518, 'off', 3]
[69, 520, 'on for the first time', 3]
[88, 520, 'on', 2]
[86, 522, 'off', 2]
[70, 531, 'on', 3]
[69, 532, 'off for the first time', 3]
[72, 541, 'on', 3]
[89, 541, 'on', 2]
[70, 542, 'off', 3]
[88, 543, 'off', 2]
[77, 552, 'on for the first time', 3]
[72, 552, 'off', 3]
[84, 562, 'on', 2]
[89, 564, 'off', 2]
[72, 573, 'on', 3]
[77, 574, 'off for the first time', 3]
[70, 583, 'on', 3]
[72, 584, 'off', 3]
[69, 594, 'on', 3]
[70, 594, 'off', 3]
[69, 603, 'off', 3]
[67, 605, 'on for the first time', 3]
[69, 615, 'on', 3]
[67, 616, 'off for the first time', 3]
[70, 626, 'on', 3]
[69, 627, 'off', 3]
[76, 637, 'on for the first time', 3]
[70, 637, 'off', 3]
[79, 647, 'on', 2]
[84, 649, 'off', 2]
[70, 658, 'on', 3]
[76, 659, 'off for the first time', 3]
[69, 669, 'on', 3]
[70, 669, 'off', 3]
[67, 680, 'on', 3]
[69, 681, 'off', 3]
[67, 689, 'off', 3]
[53, 692, 'on for the first time', 3]
[53, 692, 'off for the first time', 3]
[53, 692, 'on', 5]
[81, 692, 'on for the first time', 2]
[79, 694, 'off', 2]
[60, 703, 'on for the first time', 3]
[69, 713, 'on', 2]
[77, 723, 'on', 2]
[69, 724, 'off', 2]
[74, 733, 'on', 2]
[77, 734, 'off', 2]
[69, 743, 'on', 2]
[74, 744, 'off', 2]
[72, 753, 'on', 2]
[69, 754, 'off', 2]
[77, 764, 'on', 2]
[72, 765, 'off', 2]
[77, 774, 'off', 2]
[53, 775, 'off', 3]
[53, 775, 'on', 3]
[53, 775, 'off', 3]
[53, 775, 'on', 5]
[60, 776, 'off for the first time', 3]
[60, 786, 'on', 3]
[69, 796, 'on', 2]
